regime	window_kb	epoch_progress	epoch	batch	batches_in_epoch	train_loss	source
heldout	20	3.467027834858958	4	2500.0	5353.0	0.00649	running_log
heldout	20	3.560433401830749	4	3000.0	5353.0	0.00644	running_log
heldout	20	3.6538389688025408	4	3500.0	5353.0	0.00637	running_log
heldout	20	3.7472445357743323	4	4000.0	5353.0	0.00633	running_log
heldout	20	3.8406501027461237	4	4500.0	5353.0	0.00627	running_log
heldout	20	3.934055669717915	4	5000.0	5353.0	0.00623	running_log
heldout	20	4.0	4			0.006187571279352873	epoch_mean
heldout	20	4.093405566971792	5	500.0	5353.0	0.00536	running_log
heldout	20	4.186811133943583	5	1000.0	5353.0	0.0053	running_log
heldout	20	4.280216700915375	5	1500.0	5353.0	0.00526	running_log
heldout	20	4.373622267887166	5	2000.0	5353.0	0.00514	running_log
heldout	20	4.467027834858958	5	2500.0	5353.0	0.00515	running_log
heldout	20	4.560433401830749	5	3000.0	5353.0	0.00512	running_log
heldout	20	4.653838968802541	5	3500.0	5353.0	0.00512	running_log
heldout	20	4.747244535774332	5	4000.0	5353.0	0.00512	running_log
heldout	20	4.840650102746124	5	4500.0	5353.0	0.00511	running_log
heldout	20	4.934055669717916	5	5000.0	5353.0	0.00509	running_log
heldout	20	5.0	5			0.005082594769059403	epoch_mean
heldout	30	0.06306760847628658	1	500.0	7928.0	0.87111	running_log
heldout	30	0.12613521695257315	1	1000.0	7928.0	0.48273	running_log
heldout	30	0.18920282542885974	1	1500.0	7928.0	0.32957	running_log
heldout	30	0.2522704339051463	1	2000.0	7928.0	0.25191	running_log
heldout	30	0.31533804238143287	1	2500.0	7928.0	0.2046	running_log
heldout	30	0.3784056508577195	1	3000.0	7928.0	0.17289	running_log
heldout	30	0.44147325933400605	1	3500.0	7928.0	0.15001	running_log
heldout	30	0.5045408678102926	1	4000.0	7928.0	0.13269	running_log
heldout	30	0.5676084762865792	1	4500.0	7928.0	0.11921	running_log
heldout	30	0.6306760847628657	1	5000.0	7928.0	0.10837	running_log
heldout	30	0.6937436932391524	1	5500.0	7928.0	0.09947	running_log
heldout	30	0.756811301715439	1	6000.0	7928.0	0.09205	running_log
heldout	30	0.8198789101917255	1	6500.0	7928.0	0.08575	running_log
heldout	30	0.8829465186680121	1	7000.0	7928.0	0.08032	running_log
heldout	30	0.9460141271442987	1	7500.0	7928.0	0.07563	running_log
